city,state,lga,population2026,growthRate,note
"Ingawa","Katsina","Ingawa",349527,0.03695671522235733,""
"Albasu","Kano","Albasu",349473,0.031584571379655424,""
"Isoko South","Delta","Isoko South",348731,0.01989898428611947,""
"Maigatari","Jigawa","Maigatari",348703,0.034469153089437654,""
"Ilorin South","Kwara","Ilorin South",347671,0.025711301761880634,""
"Ogbaru","Anambra","Ogbaru",347652,0.02237658178524482,""
"Asari-Toru","Rivers","Asari Toru",346162,0.02297060483644553,""
"Jibia","Katsina","Jibia",345932,0.0369508850287017,""
"Rijau","Niger","Rijau",345833,0.03429166155751018,""
"Bodinga","Sokoto","Bodinga",344907,0.03471272229822153,""
"Ilorin East","Kwara","Ilorin East",344816,0.025728283858915457,""
"Baruten","Kwara","Baruten",343481,0.02572364550702222,""
"Ukum","Benue","Ukum",343434,0.023224357121788497,""
"Andoni","Rivers","Andoni",343200,0.0229691142017443,""
"Yola North","Adamawa","Yola North",343109,0.02743856791217736,""
"Gwarzo","Kano","Gwarzo",342000,0.03158396399711649,""
"Karim-Lamido","Taraba","Karim Lamido",341700,0.028730389544703305,""
"Ifelodun","Osun","Ifelodun",340592,0.025715774289044147,"Name also exists as an LGA in Kwara; source CSV had two unlabeled rows for 'Ifelodun' so this state/population pairing is our best estimate, not confirmed."
"Kiyawa","Jigawa","Kiyawa",340561,0.03446065804821141,""
"Maiyama","Kebbi","Maiyama",339450,0.03405103085246375,""
"Borgu","Niger","Borgu",339330,0.03430617998933161,""
"Bonny","Rivers","Bonny",338609,0.02297555316552069,""
"Jere","Borno","Jere",337108,0.024164980525832824,""
"Yola South","Adamawa","Yola South",337080,0.02742920193488807,""
"Song","Adamawa","Song",335424,0.02743930455238841,""
"Edu","Kwara","Edu",335058,0.02571496794812922,""
"Shendam","Plateau","Shendam",332390,0.024431136986343693,""
"Yakurr","Cross River","Yakurr",332042,0.026636613517115215,""
"Akinyele","Oyo","Akinyele",330962,0.022567030631098328,""
"Kukawa","Borno","Kukawa",327741,0.024152219291776467,""
"Igbo-Etiti","Enugu","Igbo Etiti",327265,0.02284056920148636,""
"Yewa South (Egbado South)","Ogun","Yewa South",326951,0.033748897327342764,""
"Odukpani","Cross River","Odukpani",326393,0.026651358832410654,""
"Buruku","Benue","Buruku",326320,0.02321293628122678,""
"Bunkure","Kano","Bunkure",324889,0.031577042267831645,""
"Okehi","Kogi","Okehi",324634,0.01882398724563461,""
"Malam Madori","Jigawa","Malam Madori",324538,0.03446649135389279,""
"Etsako West","Edo","Etsako West",324141,0.02469904655926758,""
"Calabar South","Cross River","Calabar South",324056,0.02664702434697208,""
"Zuru","Kebbi","Zuru",322984,0.03404845221210895,""
"Zango","Katsina","Zango",322473,0.03695736060196797,""
"Nasarawa","Nasarawa","Nasarawa",322132,0.02750479252589244,"Name also exists as an LGA in Nasarawa; source CSV had two unlabeled rows for 'Nasarawa' so this state/population pairing is our best estimate, not confirmed."
"Giade","Bauchi","Giade",322055,0.03690026207846908,""
"Idemili South","Anambra","Idemili South",321980,0.022379434290576983,""
"Ohaukwu","Ebonyi","Ohaukwu",321816,0.025218222363810217,""
"Ajingi","Kano","Ajingi",321507,0.031588708280124056,""
"Wurno","Sokoto","Wurno",321277,0.034698537534259,""
"Quaan Pan","Plateau","Qua'an Pan",319597,0.02441502660426953,""
"Rimi","Katsina","Rimi",318427,0.03695803672031217,""
"Oluyole","Oyo","Oluyole",317960,0.022573414249005497,""
"Kazaure","Jigawa","Kazaure",317308,0.034456003312262284,""
"Ikara","Kaduna","Ikara",317191,0.02469746015131835,""
"Emuoha","Rivers","Emohua",316714,0.022978036175710592,""
"Boki","Cross River","Boki",315715,0.026638657921521425,""
"Adavi","Kogi","Adavi",315493,0.018836788736033006,""
"Ughelli South","Delta","Ughelli South",315284,0.019890986138741962,""
"Edati","Niger","Edati",313675,0.034292308960514495,""
"Kajola","Oyo","Kajola",313366,0.02257145560925311,""
"Kankia","Katsina","Kankia",312883,0.03696351042322599,""
"Bindawa","Katsina","Bindawa",312074,0.03696295065625521,""
"Enugu South","Enugu","Enugu South",311061,0.02283331744032724,""
"Calabar Municipal","Cross River","Calabar Municipal",310845,0.026653455536289394,""
"Ogbomosho North","Oyo","Ogbomosho North",310737,0.022568193261133462,""
"Paikoro","Niger","Paikoro",310474,0.03429275767872619,""
"Shagari","Sokoto","Shagari",310384,0.034696109022055,""
"Damban","Bauchi","Damban",310025,0.03689371693077459,""
"Awgu","Enugu","Awgu",309984,0.02285033607317377,""
"Bakori","Katsina","Bakori",308939,0.03695163293391057,""
"Burutu","Delta","Burutu",308356,0.019888007990924272,""
"Bende","Abia","Bende",308134,0.023769021197421747,""
"Pankshin","Plateau","Pankshin",308043,0.02442309419053612,""
"Bassa","Kogi","Bassa",307606,0.024427933433465165,"Name also exists as an LGA in Plateau; source CSV had two unlabeled rows for 'Bassa' so this state/population pairing is our best estimate, not confirmed."
"Sagbama","Bayelsa","Sagbama",307300,0.025184236249420344,""
"Guma","Benue","Guma",307246,0.023211978313285142,""
"Demsa","Adamawa","Demsa",306556,0.02743573415557865,""
"Akoko North East","Ondo","Akoko North East",306263,0.02719046405237524,""
"Kaltungo","Gombe","Kaltungo",305553,0.032748154557499465,""
"Ijebu Ode","Ogun","Ijebu Ode",305255,0.033753488120072506,""
